[21:26:45] [ServerMain/INFO]: Building unoptimized datafixer
[21:26:47] [ServerMain/INFO]: Environment: authHost='https://authserver.mojang.com', accountsHost='https://api.mojang.com', sessionHost='https://sessionserver.mojang.com', servicesHost='https://api.minecraftservices.com', name='PROD'
[21:26:48] [ServerMain/WARN]: Failed to parse level-type default, defaulting to minecraft:normal
[21:26:48] [ServerMain/INFO]: Loaded 7 recipes
[21:26:49] [ServerMain/INFO]: Loaded 1179 advancements
[21:26:51] [Server thread/INFO]: Starting minecraft server version 1.19.2
[21:26:51] [Server thread/INFO]: Loading properties
[21:26:51] [Server thread/INFO]: Default game type: SURVIVAL
[21:26:51] [Server thread/INFO]: Generating keypair
[21:26:51] [Server thread/INFO]: Starting Minecraft server on *:25565
[21:26:51] [Server thread/INFO]: Using epoll channel type
[21:26:51] [Server thread/INFO]: Preparing level "world"
[21:27:20] [Server thread/INFO]: Preparing start region for dimension minecraft:overworld
[21:27:23] [Worker-Main-2/INFO]: Preparing spawn area: 0%
[21:27:23] [Worker-Main-2/INFO]: Preparing spawn area: 0%
[21:27:23] [Worker-Main-2/INFO]: Preparing spawn area: 0%
[21:27:23] [Worker-Main-5/INFO]: Preparing spawn area: 0%
[21:27:23] [Worker-Main-5/INFO]: Preparing spawn area: 0%
[21:27:23] [Worker-Main-5/INFO]: Preparing spawn area: 0%
[21:27:23] [Worker-Main-2/INFO]: Preparing spawn area: 0%
[21:27:24] [Worker-Main-1/INFO]: Preparing spawn area: 0%
[21:27:25] [Worker-Main-1/INFO]: Preparing spawn area: 0%
[21:27:25] [Worker-Main-5/INFO]: Preparing spawn area: 0%
[21:27:26] [Worker-Main-1/INFO]: Preparing spawn area: 0%
[21:27:26] [Worker-Main-4/INFO]: Preparing spawn area: 0%
[21:27:27] [Worker-Main-2/INFO]: Preparing spawn area: 0%
[21:27:27] [Worker-Main-4/INFO]: Preparing spawn area: 0%
[21:27:27] [Worker-Main-3/INFO]: Preparing spawn area: 0%
[21:27:28] [Worker-Main-5/INFO]: Preparing spawn area: 0%
[21:27:28] [Worker-Main-4/INFO]: Preparing spawn area: 0%
[21:27:29] [Worker-Main-1/INFO]: Preparing spawn area: 0%
[21:27:29] [Worker-Main-3/INFO]: Preparing spawn area: 0%
[21:27:30] [Worker-Main-1/INFO]: Preparing spawn area: 0%
[21:27:30] [Worker-Main-5/INFO]: Preparing spawn area: 0%
[21:27:31] [Worker-Main-4/INFO]: Preparing spawn area: 0%
[21:27:31] [Worker-Main-3/INFO]: Preparing spawn area: 0%
[21:27:32] [Worker-Main-1/INFO]: Preparing spawn area: 0%
[21:27:32] [Worker-Main-1/INFO]: Preparing spawn area: 0%
[21:27:33] [Worker-Main-4/INFO]: Preparing spawn area: 0%
[21:27:33] [Worker-Main-5/INFO]: Preparing spawn area: 0%
[21:27:34] [Worker-Main-5/INFO]: Preparing spawn area: 1%
[21:27:34] [Worker-Main-5/INFO]: Preparing spawn area: 1%
[21:27:35] [Worker-Main-5/INFO]: Preparing spawn area: 2%
[21:27:35] [Worker-Main-1/INFO]: Preparing spawn area: 2%
[21:27:36] [Worker-Main-5/INFO]: Preparing spawn area: 3%
[21:27:36] [Worker-Main-4/INFO]: Preparing spawn area: 3%
[21:27:37] [Worker-Main-4/INFO]: Preparing spawn area: 3%
